Headline,Category,Link
A new Mythical Pokémon for Sword and Shield to be revealed in February,Updates,https://www.polygon.com/pokemon/2020/1/31/21116951/new-mythical-pokemon-february-27-reveal-sword-shield
Destiny 2’s mysterious Empyrean Foundation event is all about community donations,Announcements,https://www.polygon.com/2020/1/31/21116688/destiny-2-empyrean-foundation-event-donations-polarized-fractaline-trials-of-osiris-leak-lighthouse
Animal Crossing: New Horizons-themed Nintendo Switch hardware coming in March,New Releases,https://www.polygon.com/2020/1/30/21116072/animal-crossing-new-horizons-nintendo-switch-joy-cons-hardware-release-date-price
Pokémon Sword and Shield ban shows the divide between competitive scenes,Commentary,https://www.polygon.com/2020/1/30/21115549/pokemon-sword-shield-nintendo-switch-smogon-vgc-competitive-ban-dynamax
Star Wars Jedi: Fallen Order’s big sales make it a feel-good hit for EA,Commentary,https://www.polygon.com/star-wars/2020/2/1/21118004/star-wars-jedi-fallen-order-sales-copies-review-scores-electronic-arts-ps4-xbox-one-pc
Pokémon Go Minccino Limited Research guide: Start time and Shiny rates,Walkthroughs,https://www.polygon.com/pokemon-go-guide/2020/2/2/21117142/minccino-limited-research-start-time
Warcraft 3: Reforged review: a relic ruined by upgrades,Reviews,https://www.polygon.com/reviews/2020/2/4/21116683/warcraft-3-reforged-review-pc-mac-issues-cutscenes-remastered-glitches-complaints
Animal Crossing New Horizons guide: second week walkthrough,Walkthroughs,https://www.polygon.com/animal-crossing-new-horizons-switch-acnh-guide/2020/3/27/21196990/second-week-daily-goals-walkthrough-how-to-unlock-clothing-shop-unlocks-steps
"SonicFox wins Mortal Kombat tournament, tells people to ‘Vote Bernie’",Announcements,https://www.polygon.com/2020/3/9/21171428/sonicfox-mk11-tournament-win
I can’t resist Sea of Thieves’ cursed chests (and my crew hates it),Reviews,https://www.polygon.com/2020/3/9/21168258/sea-of-thieves-cursed-chests-loot-greedy-crew
Bethesda will not host a digital showcase for its upcoming games in June,Announcements,https://www.polygon.com/2020/4/1/21202827/bethesda-digital-showcase-june-canceled-doom-elder-scrolls-starfield
Resident Evil 3 walkthrough,Walkthroughs,https://www.polygon.com/guides/2020/4/3/21199825/resident-evil-3-walkthrough-ps4-xbox-one-windows-pc
"Final Fantasy 7 Remake is a flawed, but fascinating, reimagining of a classic",Reviews,https://www.polygon.com/reviews/2020/4/6/21208806/final-fantasy-7-remake-review-playstation-4
Summer Game Fest announced as a season-long E3 replacement,Announcements,https://www.polygon.com/2020/5/1/21244088/summer-game-fest-digital-event-geoff-keighley-e3-2020-gamescom
